establishment.name,address,city,time.in.h,time.in.m,time.in.ampm,time.out.h,time.out.m,time.out.ampm,inspection.date,cfsm,purpose.of.inspection,risk.type,permit.number,current.score,current.grade,template_type,date_time_in,date_time_out,inspection_duration
100% NATURAL/ MULTI JUICE INC,4166 BUFORD HIGHWAY STE. N4,ATLANTA,12.0,45.0,PM,2.0,10.0,PM,2016-01-04, none/violation,Routine,1,887766,95.0,A,Food,2016-01-04T12:45:00Z,2016-01-04T14:10:00Z,1.4166666666666667
100% NATURAL/ MULTI JUICE INC,4166 BUFORD HIGHWAY STE. N4,ATLANTA,1.0,45.0,PM,3.0,20.0,PM,2015-09-08, none*,Routine,1,887766,87.0,B,Food,2015-09-08T13:45:00Z,2015-09-08T15:20:00Z,1.5833333333333333
100% NATURAL/ MULTI JUICE INC,4166 BUFORD HIGHWAY STE. N4,ATLANTA,1.0,15.0,PM,2.0,50.0,PM,2015-08-24, 90 Days from permitting date to Employ/Obtain CFSM,Follow-Up,1,887766,73.0,C,Food,2015-08-24T13:15:00Z,2015-08-24T14:50:00Z,1.5833333333333333
100% NATURAL/ MULTI JUICE INC,4166 BUFORD HIGHWAY STE. N4,ATLANTA,3.0,30.0,PM,5.0,0.0,PM,2015-07-07, 60 Days to Obtain CFSM,Initial,1,887766,100.0,A,Food,2015-07-07T15:30:00Z,2015-07-07T17:00:00Z,1.5
1990 KABOB,4897 BUFORD HIGHWAY SUITE 123,CHAMBLEE,3.0,20.0,PM,4.0,10.0,PM,2015-10-07, Juanjuan Wang exp 5/3/2020,Initial,2,887719,97.0,A,Food,2015-10-07T15:20:00Z,2015-10-07T16:10:00Z,0.8333333333333334
3 DOLLAR CAFE,4034 GLENWOOD ROAD,DECATUR,11.0,45.0,AM,2.0,5.0,PM,2015-06-22, Quing Liang Li,Follow-Up,2,886659,84.0,B,Food,2015-06-22T11:45:00Z,2015-06-22T14:05:00Z,2.3333333333333335
3 DOLLAR CAFE,4034 GLENWOOD ROAD,DECATUR,12.0,50.0,PM,3.0,55.0,PM,2015-06-09, NO CFSM POSTED,Routine,2,886659,67.0,U,Food,2015-06-09T12:50:00Z,2015-06-09T15:55:00Z,3.0833333333333335
3 DOLLAR CAFE,4034 GLENWOOD ROAD,DECATUR,2.0,5.0,PM,4.0,5.0,PM,2014-12-23, Qing Liang Li,Follow-Up,2,886659,93.0,A,Food,2014-12-23T14:05:00Z,2014-12-23T16:05:00Z,2.0
3 DOLLAR CAFE,4034 GLENWOOD ROAD,DECATUR,2.0,20.0,PM,5.0,5.0,PM,2014-12-01, Quing Liang Li,Routine,2,886659,74.0,C,Food,2014-12-01T14:20:00Z,2014-12-01T17:05:00Z,2.75
3 DOLLAR CAFE,4034 GLENWOOD ROAD,DECATUR,1.0,55.0,PM,4.0,45.0,PM,2014-06-10, Quing Liang Li,Follow-Up,2,886659,81.0,B,Food,2014-06-10T13:55:00Z,2014-06-10T16:45:00Z,2.8333333333333335
3 DOLLAR CAFE,4034 GLENWOOD ROAD,DECATUR,2.0,15.0,PM,5.0,50.0,PM,2014-06-04, Quing Liang Li,Routine,2,886659,43.0,U,Food,2014-06-04T14:15:00Z,2014-06-04T17:50:00Z,3.5833333333333335
3 DOLLAR CAFE,4034 GLENWOOD ROAD,DECATUR,11.0,5.0,AM,2.0,10.0,PM,2014-04-08, 90 Day deadline,Initial,2,886659,96.0,A,Food,2014-04-08T11:05:00Z,2014-04-08T14:10:00Z,3.0833333333333335
3 DOLLAR CAFE,4034 GLENWOOD ROAD,DECATUR,11.0,5.0,AM,2.0,10.0,PM,2014-04-08, 90 day deadline,Construction/Preoperational,2,886659,NA,"NA",Food,2014-04-08T11:05:00Z,2014-04-08T14:10:00Z,3.0833333333333335
5 BUCKS CAFE,"3853 LAWRENCEVILLE HIGHWAY, SUITE A",TUCKER,2.0,25.0,PM,3.0,25.0,PM,2015-05-28, Shu Ying Yu,Follow-Up,3,885918,92.0,A,Food,2015-05-28T14:25:00Z,2015-05-28T15:25:00Z,1.0
5 BUCKS CAFE,"3853 LAWRENCEVILLE HIGHWAY, SUITE A",TUCKER,2.0,50.0,PM,4.0,0.0,PM,2015-04-13, Shu Ying Yu (ex. 3/21/19),Routine,3,885918,78.0,C,Food,2015-04-13T14:50:00Z,2015-04-13T16:00:00Z,1.1666666666666667
5 BUCKS CAFE,"3853 LAWRENCEVILLE HIGHWAY, SUITE A",TUCKER,12.0,10.0,PM,1.0,20.0,PM,2014-10-07, Ding Zi Chen (Ex. 11/2/2014),Routine,3,885918,87.0,B,Food,2014-10-07T12:10:00Z,2014-10-07T13:20:00Z,1.1666666666666667
5 BUCKS CAFE,"3853 LAWRENCEVILLE HIGHWAY, SUITE A",TUCKER,2.0,20.0,PM,3.0,35.0,PM,2014-02-17, Ding Zi Chen,Routine,2,885918,86.0,B,Food,2014-02-17T14:20:00Z,2014-02-17T15:35:00Z,1.25
529 BAR,529 FLAT SHOALS AVENUE  S. E.,ATLANTA,5.0,35.0,PM,6.0,25.0,PM,2015-01-10, N/A,Routine,2,886576,90.0,A,Food,2015-01-10T17:35:00Z,2015-01-10T18:25:00Z,0.8333333333333334
A BOKAY CATERING & FLOWERS INC,4339 HUGH HOWELL ROAD,TUCKER,10.0,15.0,AM,11.0,15.0,AM,2015-06-18, Joann Morgan,Routine,3,443349,83.0,B,Food,2015-06-18T10:15:00Z,2015-06-18T11:15:00Z,1.0
A BOKAY CATERING & FLOWERS INC,4339 HUGH HOWELL ROAD,TUCKER,2.0,50.0,PM,3.0,55.0,PM,2014-09-08, Joann Morgan,Routine,3,443349,93.0,A,Food,2014-09-08T14:50:00Z,2014-09-08T15:55:00Z,1.0833333333333333
A PEACH OF A PARTY,3450 HARDEE AVENUE,CHAMBLEE,11.0,20.0,AM,12.0,30.0,PM,2015-05-15, David Plant,Routine,2,884323,92.0,A,Food,2015-05-15T11:20:00Z,2015-05-15T12:30:00Z,1.1666666666666667
A PEACH OF A PARTY,3450 HARDEE AVENUE,CHAMBLEE,2.0,0.0,PM,3.0,0.0,PM,2014-05-21, David Plant,Routine,2,884323,91.0,A,Food,2014-05-21T14:00:00Z,2014-05-21T15:00:00Z,1.0
A-PRIORI RESTAURANT,"5953 BUFORD HIGHWAY, SUITE 108-109",DORAVILLE,1.0,15.0,PM,2.0,25.0,PM,2014-12-17, 90 day deadline,Initial,2,887303,100.0,A,Food,2014-12-17T13:15:00Z,2014-12-17T14:25:00Z,1.1666666666666667
A.M.T CAFFE,"447 NORTH INDIAN CREEK DRIVE, SUITE A",CLARKSTON,1.0,25.0,PM,2.0,55.0,PM,2015-07-08, Not In Compliance,Routine,2,887299,80.0,B,Food,2015-07-08T13:25:00Z,2015-07-08T14:55:00Z,1.5
A.M.T CAFFE,"447 NORTH INDIAN CREEK DRIVE, SUITE A",CLARKSTON,2.0,35.0,PM,4.0,10.0,PM,2015-03-23, Due By: 3/29/15,Follow-Up,2,887299,81.0,B,Food,2015-03-23T14:35:00Z,2015-03-23T16:10:00Z,1.5833333333333333
A.M.T CAFFE,"447 NORTH INDIAN CREEK DRIVE, SUITE A",CLARKSTON,2.0,20.0,PM,4.0,5.0,PM,2015-02-23, Within 90 Days of Permitting,Routine,2,887299,79.0,C,Food,2015-02-23T14:20:00Z,2015-02-23T16:05:00Z,1.75
A.M.T CAFFE,"447 NORTH INDIAN CREEK DRIVE, SUITE A",CLARKSTON,11.0,0.0,AM,11.0,45.0,AM,2014-12-29, Within 90 Days of Permitting,Initial,2,887299,99.0,A,Food,2014-12-29T11:00:00Z,2014-12-29T11:45:00Z,0.75
ACAPULCOS,4095 PLEASANTDALE ROAD,DORAVILLE,9.0,0.0,AM,10.0,5.0,AM,2015-04-30, Li Ting Huang (03-01-2020),Routine,2,885744,95.0,A,Food,2015-04-30T09:00:00Z,2015-04-30T10:05:00Z,1.0833333333333333
ADDIS MART,3667 CLAIRMONT ROAD,CHAMBLEE,3.0,0.0,PM,4.0,15.0,PM,2015-09-02, Adafre Seife,Routine,2,882280,96.0,A,Food,2015-09-02T15:00:00Z,2015-09-02T16:15:00Z,1.25
ADDIS MART,3667 CLAIRMONT ROAD,CHAMBLEE,2.0,15.0,PM,4.0,25.0,PM,2015-08-24, Adafre Seife,Routine,2,882280,56.0,U,Food,2015-08-24T14:15:00Z,2015-08-24T16:25:00Z,2.1666666666666665
ADDIS MART,3667 CLAIRMONT ROAD,CHAMBLEE,3.0,15.0,PM,4.0,20.0,PM,2015-04-21, Adafre Seife,Routine,2,882280,87.0,B,Food,2015-04-21T15:15:00Z,2015-04-21T16:20:00Z,1.0833333333333333
ADDIS MART,3667 CLAIRMONT ROAD,CHAMBLEE,3.0,30.0,PM,4.0,45.0,PM,2014-12-30, Not Posted,Follow-Up,2,882280,81.0,B,Food,2014-12-30T15:30:00Z,2014-12-30T16:45:00Z,1.25
ADDIS MART,3667 CLAIRMONT ROAD,CHAMBLEE,4.0,15.0,PM,6.0,0.0,PM,2014-12-17, Not Posted,Routine,2,882280,60.0,U,Food,2014-12-17T16:15:00Z,2014-12-17T18:00:00Z,1.75
ADDIS MART,3667 CLAIRMONT ROAD,CHAMBLEE,4.0,40.0,PM,5.0,30.0,PM,2014-08-04, Not Posted,Routine,2,882280,80.0,B,Food,2014-08-04T16:40:00Z,2014-08-04T17:30:00Z,0.8333333333333334
AJC CAFE,223 PERIMETER CENTER PARKWAY,DUNWOODY,11.0,10.0,AM,1.0,0.0,PM,2015-05-06, William Phillips (4/19/19),Routine,2,885004,93.0,A,Food,2015-05-06T11:10:00Z,2015-05-06T13:00:00Z,1.8333333333333333
AJC CAFE,223 PERIMETER CENTER PARKWAY,DUNWOODY,8.0,20.0,AM,10.0,50.0,AM,2014-08-20, William Phillips (4/19/19),Routine,2,885004,85.0,B,Food,2014-08-20T08:20:00Z,2014-08-20T10:50:00Z,2.5
ALL FOODS CUMBERLAND/PHILLY CONNECTION FOOD TRUCK,"2980 COBB PARKWAY, SUITE 200",ATLANTA,5.0,35.0,PM,6.0,25.0,PM,2015-08-26, Jennifer Nelson,Routine,2,887745,88.0,B,Food,2015-08-26T17:35:00Z,2015-08-26T18:25:00Z,0.8333333333333334
ALL FOODS CUMBERLAND/PHILLY CONNECTION FOOD TRUCK,"2980 COBB PARKWAY, SUITE 200",ATLANTA,2.0,30.0,PM,2.0,50.0,PM,2015-08-25, Cynthia S. Hall,Initial,2,887745,100.0,A,Food,2015-08-25T14:30:00Z,2015-08-25T14:50:00Z,0.3333333333333333
ALL ISLAND CAFE,4747 MEMORIAL DRIVE,DECATUR,12.0,40.0,PM,2.0,50.0,PM,2015-06-03, Samantha Bailey,Routine,3,886589,81.0,B,Food,2015-06-03T12:40:00Z,2015-06-03T14:50:00Z,2.1666666666666665
ALL ISLAND CAFE,4747 MEMORIAL DRIVE,DECATUR,2.0,25.0,PM,4.0,35.0,PM,2014-12-04, Samantha Bailey,Routine,3,886589,81.0,B,Food,2014-12-04T14:25:00Z,2014-12-04T16:35:00Z,2.1666666666666665
ALL ISLAND CAFE,4747 MEMORIAL DRIVE,DECATUR,12.0,35.0,PM,3.0,0.0,PM,2014-05-28, Samantha Bailey,Routine,2,886589,84.0,B,Food,2014-05-28T12:35:00Z,2014-05-28T15:00:00Z,2.4166666666666665
ALL ISLAND CAFE,4747 MEMORIAL DRIVE,DECATUR,11.0,15.0,PM,1.0,40.0,PM,2014-01-27, Samantha Bailey,Initial,2,886589,97.0,A,Food,2014-01-27T23:15:00Z,2014-01-27T13:40:00Z,-9.583333333333334
ALLGOOD ELEMENTARY SCHOOL,659 ALLGOOD ROAD,STONE MOUNTAIN,7.0,45.0,AM,9.0,50.0,AM,2015-10-01, Tracy R. Reed,Routine,2,660020,92.0,A,Food,2015-10-01T07:45:00Z,2015-10-01T09:50:00Z,2.0833333333333335
ALLGOOD ELEMENTARY SCHOOL,659 ALLGOOD ROAD,STONE MOUNTAIN,10.0,10.0,AM,12.0,5.0,PM,2015-04-02, Beau Martin,Routine,2,660020,89.0,B,Food,2015-04-02T10:10:00Z,2015-04-02T12:05:00Z,1.9166666666666667
ALLGOOD ELEMENTARY SCHOOL,659 ALLGOOD ROAD,STONE MOUNTAIN,9.0,55.0,AM,11.0,40.0,AM,2014-10-09, Beau Martin,Routine,2,660020,91.0,A,Food,2014-10-09T09:55:00Z,2014-10-09T11:40:00Z,1.75
ALLGOOD ELEMENTARY SCHOOL,659 ALLGOOD ROAD,STONE MOUNTAIN,10.0,20.0,AM,12.0,45.0,PM,2014-05-01, Beau Martin,Routine,2,660020,86.0,B,Food,2014-05-01T10:20:00Z,2014-05-01T12:45:00Z,2.4166666666666665
ALONZO A. CRIM HIGH SCHOOL,"256 CLIFTON STREET, SE",ATLANTA,12.0,0.0,PM,1.0,35.0,PM,2015-04-28, Christopher Crossfield,Routine,2,662759,97.0,A,Food,2015-04-28T12:00:00Z,2015-04-28T13:35:00Z,1.5833333333333333
ALONZO A. CRIM HIGH SCHOOL,"256 CLIFTON STREET, SE",ATLANTA,11.0,15.0,AM,1.0,15.0,PM,2014-09-16, Christopher Crossfield,Routine,2,662759,100.0,A,Food,2014-09-16T11:15:00Z,2014-09-16T13:15:00Z,2.0
ALONZO A. CRIM HIGH SCHOOL,"256 CLIFTON STREET, SE",ATLANTA,10.0,40.0,AM,1.0,15.0,PM,2014-03-27, Christopher Crossfield,Routine,2,662759,93.0,A,Food,2014-03-27T10:40:00Z,2014-03-27T13:15:00Z,2.5833333333333335
ALSTON CAMPUS SNACK BAR,141 EAST COLLEGE AVENUE,DECATUR,12.0,0.0,PM,2.0,0.0,PM,2015-10-28, Pete Miller (8/7/17),Routine,2,448556,92.0,A,Food,2015-10-28T12:00:00Z,2015-10-28T14:00:00Z,2.0
ALSTON CAMPUS SNACK BAR,141 EAST COLLEGE AVENUE,DECATUR,11.0,30.0,AM,1.0,40.0,PM,2015-01-28, Pete Miller,Routine,2,448556,82.0,B,Food,2015-01-28T11:30:00Z,2015-01-28T13:40:00Z,2.1666666666666665
ALSTON CAMPUS SNACK BAR,141 EAST COLLEGE AVENUE,DECATUR,1.0,35.0,PM,3.0,30.0,PM,2014-05-09, Pete Miller,Routine,2,448556,85.0,B,Food,2014-05-09T13:35:00Z,2014-05-09T15:30:00Z,1.9166666666666667
AMAZED CATERING,308 CLAIREMONT AVENUE,DECATUR,3.0,0.0,PM,4.0,15.0,PM,2015-06-01, Janice Taylor,Routine,2,882598,92.0,A,Food,2015-06-01T15:00:00Z,2015-06-01T16:15:00Z,1.25
AMAZED CATERING,308 CLAIREMONT AVENUE,DECATUR,12.0,10.0,PM,1.0,35.0,PM,2014-07-16, Philip Rogers,Routine,2,882598,91.0,A,Food,2014-07-16T12:10:00Z,2014-07-16T13:35:00Z,1.4166666666666667
AMAZED CATERING,308 CLAIREMONT AVENUE,DECATUR,11.0,25.0,AM,12.0,50.0,PM,2014-03-17, Philip Rogers,Routine,2,882598,88.0,B,Food,2014-03-17T11:25:00Z,2014-03-17T12:50:00Z,1.4166666666666667
AMC NORTH DEKALB MALL 16,"2042 LAWRENCEVILLE HIGHWAY, SUITE F-22",DECATUR,11.0,40.0,AM,1.0,40.0,PM,2015-01-23, Dominique Vidgil,Routine,2,446848,92.0,A,Food,2015-01-23T11:40:00Z,2015-01-23T13:40:00Z,2.0
AMC NORTH DEKALB MALL 16,"2042 LAWRENCEVILLE HIGHWAY, SUITE F-22",DECATUR,1.0,50.0,PM,3.0,35.0,PM,2014-07-16, Robert Miller,Routine,2,446848,95.0,A,Food,2014-07-16T13:50:00Z,2014-07-16T15:35:00Z,1.75
AMC NORTH DEKALB MALL 16,"2042 LAWRENCEVILLE HIGHWAY, SUITE F-22",DECATUR,4.0,20.0,PM,6.0,0.0,PM,2014-03-05, Robert Miller,Routine,2,446848,92.0,A,Food,2014-03-05T16:20:00Z,2014-03-05T18:00:00Z,1.6666666666666667
AMC THEATRES STONECREST MALL 16,8060 MALL PARKWAY,LITHONIA,2.0,40.0,PM,3.0,45.0,PM,2014-09-17, Amanda Cooper 1/2019,Routine,2,880599,93.0,A,Food,2014-09-17T14:40:00Z,2014-09-17T15:45:00Z,1.0833333333333333
AMEER'S MEDITERRANEAN,2168 BRIARCLIFF ROAD,ATLANTA,2.0,20.0,PM,3.0,25.0,PM,2015-10-12, Achraf Mebtoul 05/07/18,Follow-Up,2,886393,92.0,A,Food,2015-10-12T14:20:00Z,2015-10-12T15:25:00Z,1.0833333333333333
AMEER'S MEDITERRANEAN,2168 BRIARCLIFF ROAD,ATLANTA,12.0,20.0,PM,1.0,50.0,PM,2015-10-01, Achraf Metoul 05/07/18,Routine,2,886393,75.0,C,Food,2015-10-01T12:20:00Z,2015-10-01T13:50:00Z,1.5
AMEER'S MEDITERRANEAN,2168 BRIARCLIFF ROAD,ATLANTA,2.0,0.0,PM,4.0,0.0,PM,2015-01-23, Expired Certifcate,Routine,2,886393,76.0,C,Food,2015-01-23T14:00:00Z,2015-01-23T16:00:00Z,2.0
AMEER'S MEDITERRANEAN,2168 BRIARCLIFF ROAD,ATLANTA,2.0,40.0,PM,4.0,10.0,PM,2014-10-02, Expired person registered for class,Follow-Up,3,886393,91.0,A,Food,2014-10-02T14:40:00Z,2014-10-02T16:10:00Z,1.5
AMEER'S MEDITERRANEAN,2168 BRIARCLIFF ROAD,ATLANTA,2.0,30.0,PM,4.0,30.0,PM,2014-08-01, expired facility has 60 days from 06/08/14,Routine,2,886393,76.0,C,Food,2014-08-01T14:30:00Z,2014-08-01T16:30:00Z,2.0
AMEER'S MEDITERRANEAN,2168 BRIARCLIFF ROAD,ATLANTA,11.0,55.0,PM,2.0,0.0,PM,2014-03-18, Basem S. Salame,Routine,2,886393,90.0,A,Food,2014-03-18T23:55:00Z,2014-03-18T14:00:00Z,-9.916666666666666
AMERI BISTRO,"3910 FLAT SHOALS PARKWAY, SUITE 109",DECATUR,2.0,5.0,PM,3.0,30.0,PM,2015-06-04, Hao Gao 2/20,Routine,2,887554,81.0,B,Food,2015-06-04T14:05:00Z,2015-06-04T15:30:00Z,1.4166666666666667
AMERI BISTRO,"3910 FLAT SHOALS PARKWAY, SUITE 109",DECATUR,12.0,35.0,PM,1.0,50.0,PM,2015-05-05, Hao Gao 2/2020,Initial,2,887554,95.0,A,Food,2015-05-05T12:35:00Z,2015-05-05T13:50:00Z,1.25
AMERI BISTRO,"3910 FLAT SHOALS PARKWAY, SUITE 109",DECATUR,12.0,35.0,PM,1.0,50.0,PM,2015-05-05, n/a,Construction/Preoperational,2,887554,NA,"NA",Food,2015-05-05T12:35:00Z,2015-05-05T13:50:00Z,1.25
AMERIBISTRO,"3039 PANOLA ROAD, SUITE C",LITHONIA,1.0,40.0,PM,3.0,20.0,PM,2015-02-04, Hyun Sook Ahn 7/2015,Routine,2,884032,85.0,B,Food,2015-02-04T13:40:00Z,2015-02-04T15:20:00Z,1.6666666666666667
AMERIBISTRO,"3039 PANOLA ROAD, SUITE C",LITHONIA,1.0,0.0,PM,3.0,0.0,PM,2014-02-10, Hyun Sook Ahn,Routine,2,884032,95.0,A,Food,2014-02-10T13:00:00Z,2014-02-10T15:00:00Z,2.0
AMERIBISTRO,"945 NORTH HAIRSTON ROAD, SUITE 2",STONE MOUNTAIN,11.0,15.0,AM,12.0,20.0,PM,2015-04-10, Eunsik Ham exp 12/2019,Routine,2,884117,84.0,B,Food,2015-04-10T11:15:00Z,2015-04-10T12:20:00Z,1.0833333333333333
AMERIBISTRO,"945 NORTH HAIRSTON ROAD, SUITE 2",STONE MOUNTAIN,12.0,35.0,PM,4.0,10.0,PM,2014-06-03, Eunsik Ham exp 12/2014,Routine,2,884117,85.0,B,Food,2014-06-03T12:35:00Z,2014-06-03T16:10:00Z,3.5833333333333335
AMERIBISTRO,"6746 COVINGTON HIGHWAY, SUITE 102",LITHONIA,1.0,50.0,PM,3.0,0.0,PM,2015-09-04, Kevin Hahung Na exp. 5/31/19,Routine,2,885366,95.0,A,Food,2015-09-04T13:50:00Z,2015-09-04T15:00:00Z,1.1666666666666667
AMERIBISTRO,"6746 COVINGTON HIGHWAY, SUITE 102",LITHONIA,11.0,40.0,AM,1.0,5.0,PM,2014-09-24, Kevin Hahung Na,Routine,2,885366,94.0,A,Food,2014-09-24T11:40:00Z,2014-09-24T13:05:00Z,1.4166666666666667
AMERICAN  DELI,225 EAST PONCE DE LEON AVE. STE 100,DECATUR,2.0,50.0,PM,4.0,10.0,PM,2015-09-29, Hyok Kyu An,Routine,2,887047,85.0,B,Food,2015-09-29T14:50:00Z,2015-09-29T16:10:00Z,1.3333333333333333
AMERICAN  DELI,225 EAST PONCE DE LEON AVE. STE 100,DECATUR,2.0,35.0,PM,3.0,45.0,PM,2015-04-14, Hyok Kyu An,Routine,2,887047,96.0,A,Food,2015-04-14T14:35:00Z,2015-04-14T15:45:00Z,1.1666666666666667
AMERICAN  DELI,225 EAST PONCE DE LEON AVE. STE 100,DECATUR,11.0,30.0,AM,1.0,20.0,PM,2014-10-13, Hyok Kyu An,Routine,2,887047,89.0,B,Food,2014-10-13T11:30:00Z,2014-10-13T13:20:00Z,1.8333333333333333
AMERICAN  DELI,225 EAST PONCE DE LEON AVE. STE 100,DECATUR,1.0,45.0,PM,3.0,5.0,PM,2014-04-29, Hyok Kyu An,Routine,2,887047,95.0,A,Food,2014-04-29T13:45:00Z,2014-04-29T15:05:00Z,1.3333333333333333
AMERICAN  DELI,225 EAST PONCE DE LEON AVE. STE 100,DECATUR,11.0,50.0,AM,12.0,20.0,PM,2014-03-18, Hyok Kyu An,Construction/Preoperational,2,887047,NA,"NA",Food,2014-03-18T11:50:00Z,2014-03-18T12:20:00Z,0.5
AMERICAN  DELI,225 EAST PONCE DE LEON AVE. STE 100,DECATUR,10.0,50.0,AM,12.0,20.0,PM,2014-03-18, Hyok Kyu An,Initial,2,887047,99.0,A,Food,2014-03-18T10:50:00Z,2014-03-18T12:20:00Z,1.5
AMERICAN DELI,"1250 CAROLINE STREET, SUITE 110 BLDG  C",ATLANTA,1.0,5.0,PM,2.0,50.0,PM,2015-06-18, Chang Won Lim,Routine,2,882076,87.0,B,Food,2015-06-18T13:05:00Z,2015-06-18T14:50:00Z,1.75
AMERICAN DELI,"1250 CAROLINE STREET, SUITE 110 BLDG  C",ATLANTA,12.0,20.0,PM,1.0,55.0,PM,2015-01-09, Chang Won Lim,Routine,2,882076,90.0,A,Food,2015-01-09T12:20:00Z,2015-01-09T13:55:00Z,1.5833333333333333
AMERICAN DELI,"1250 CAROLINE STREET, SUITE 110 BLDG  C",ATLANTA,12.0,20.0,PM,2.0,0.0,PM,2014-03-26, Chang Won Lim,Routine,2,882076,91.0,A,Food,2014-03-26T12:20:00Z,2014-03-26T14:00:00Z,1.6666666666666667
AMERICAN DELI,"2998 TURNER HILL ROAD, SUITE G",LITHONIA,12.0,15.0,PM,1.0,15.0,PM,2015-04-06, Kyeana Ae Y Cho,Routine,2,882471,90.0,A,Food,2015-04-06T12:15:00Z,2015-04-06T13:15:00Z,1.0
AMERICAN DELI,"2998 TURNER HILL ROAD, SUITE G",LITHONIA,2.0,40.0,PM,4.0,5.0,PM,2014-10-30, KeaneAe Y Cho,Routine,2,882471,85.0,B,Food,2014-10-30T14:40:00Z,2014-10-30T16:05:00Z,1.4166666666666667
AMERICAN DELI,"2050  LAWRENCEVILLE, SUITE 7030",DECATUR,11.0,20.0,AM,1.0,5.0,PM,2015-01-07, Gyu Sung Lee,Routine,2,882747,90.0,A,Food,2015-01-07T11:20:00Z,2015-01-07T13:05:00Z,1.75
AMERICAN DELI,"2050  LAWRENCEVILLE, SUITE 7030",DECATUR,10.0,50.0,AM,12.0,35.0,PM,2014-05-13, Gyu Sung Lee,Routine,2,882747,86.0,B,Food,2014-05-13T10:50:00Z,2014-05-13T12:35:00Z,1.75
AMERICAN DELI,"3642 FLAKES MILL ROAD, SUITE C",DECATUR,12.0,45.0,PM,1.0,40.0,PM,2015-07-20, Mi Hyang Lee 5/2018,Routine,2,883454,94.0,A,Food,2015-07-20T12:45:00Z,2015-07-20T13:40:00Z,0.9166666666666666
AMERICAN DELI,"3642 FLAKES MILL ROAD, SUITE C",DECATUR,2.0,25.0,PM,3.0,25.0,PM,2015-01-02, Mi Hyang Lee 5/2018,Routine,2,883454,85.0,B,Food,2015-01-02T14:25:00Z,2015-01-02T15:25:00Z,1.0
AMERICAN DELI,"2434 GRESHAM ROAD, SUITE A",ATLANTA,1.0,35.0,PM,3.0,10.0,PM,2015-10-27, Yun A Cho,Follow-Up,2,885118,93.0,A,Food,2015-10-27T13:35:00Z,2015-10-27T15:10:00Z,1.5833333333333333
AMERICAN DELI,"2434 GRESHAM ROAD, SUITE A",ATLANTA,2.0,30.0,PM,4.0,25.0,PM,2015-09-15, Yun A. Cho,Routine,2,885118,76.0,C,Food,2015-09-15T14:30:00Z,2015-09-15T16:25:00Z,1.9166666666666667
AMERICAN DELI,"2434 GRESHAM ROAD, SUITE A",ATLANTA,2.0,10.0,PM,4.0,25.0,PM,2015-03-12, Yum A. Cho,Routine,2,885118,80.0,B,Food,2015-03-12T14:10:00Z,2015-03-12T16:25:00Z,2.25
AMERICAN DELI,"2434 GRESHAM ROAD, SUITE A",ATLANTA,12.0,30.0,PM,2.0,0.0,PM,2014-08-06, Yum A. Cho,Follow-Up,2,885118,80.0,B,Food,2014-08-06T12:30:00Z,2014-08-06T14:00:00Z,1.5
AMERICAN DELI,"2434 GRESHAM ROAD, SUITE A",ATLANTA,3.0,0.0,PM,5.0,15.0,PM,2014-07-23, Yum A Cho,Routine,2,885118,51.0,U,Food,2014-07-23T15:00:00Z,2014-07-23T17:15:00Z,2.25
AMERICAN DELI,"3570 MEMORIAL DRIVE, SUITE 103A",DECATUR,2.0,45.0,PM,4.0,5.0,PM,2015-08-17, Joo Kim,Routine,2,885498,90.0,A,Food,2015-08-17T14:45:00Z,2015-08-17T16:05:00Z,1.3333333333333333
AMERICAN DELI,"3570 MEMORIAL DRIVE, SUITE 103A",DECATUR,2.0,45.0,PM,4.0,5.0,PM,2015-08-17, Joo Kim,Routine,2,885498,90.0,A,Food,2015-08-17T14:45:00Z,2015-08-17T16:05:00Z,1.3333333333333333
AMERICAN DELI,"3570 MEMORIAL DRIVE, SUITE 103A",DECATUR,2.0,0.0,PM,3.0,15.0,PM,2015-04-10, Hye Yon Im,Follow-Up,2,885498,93.0,A,Food,2015-04-10T14:00:00Z,2015-04-10T15:15:00Z,1.25
AMERICAN DELI,"3570 MEMORIAL DRIVE, SUITE 103A",DECATUR,2.0,30.0,PM,4.0,0.0,PM,2015-03-31, Hye Yon Im,Routine,2,885498,77.0,C,Food,2015-03-31T14:30:00Z,2015-03-31T16:00:00Z,1.5
AMERICAN DELI,"3570 MEMORIAL DRIVE, SUITE 103A",DECATUR,3.0,30.0,PM,4.0,50.0,PM,2014-09-25, Hye Yon Im,Routine,2,885498,81.0,B,Food,2014-09-25T15:30:00Z,2014-09-25T16:50:00Z,1.3333333333333333
AMERICAN DELI,"3570 MEMORIAL DRIVE, SUITE 103A",DECATUR,2.0,30.0,PM,4.0,0.0,PM,2014-03-14, Hye Im,Routine,2,885498,93.0,A,Food,2014-03-14T14:30:00Z,2014-03-14T16:00:00Z,1.5
AMERICAN DELI,"2801 CANDLER ROAD, SUITE 18",DECATUR,12.0,55.0,PM,2.0,55.0,PM,2015-06-24, Sang Jin Lee,Routine,2,885821,83.0,B,Food,2015-06-24T12:55:00Z,2015-06-24T14:55:00Z,2.0
AMERICAN DELI,"2801 CANDLER ROAD, SUITE 18",DECATUR,3.0,15.0,PM,4.0,50.0,PM,2014-12-17, Sang Jin Lee,Follow-Up,2,885821,80.0,B,Food,2014-12-17T15:15:00Z,2014-12-17T16:50:00Z,1.5833333333333333
